":START_ID",":END_ID","weight:int",":TYPE"
"7d7f39cdf1bf","70243d45b747","1","CO_AUTHORED_WITH"
"6d42d98dd279","70243d45b747","1","CO_AUTHORED_WITH"
"05aeb06441ab","70243d45b747","1","CO_AUTHORED_WITH"
"70243d45b747","a90a2e458e66","1","CO_AUTHORED_WITH"
"d5998814f109","1c3eb56b6fef","3","CO_AUTHORED_WITH"
"1c3eb56b6fef","6ab38635ac45","1","CO_AUTHORED_WITH"
"1c3eb56b6fef","13656fe8bc51","1","CO_AUTHORED_WITH"
"1c3eb56b6fef","7d7f39cdf1bf","2","CO_AUTHORED_WITH"
"1c3eb56b6fef","6d42d98dd279","1","CO_AUTHORED_WITH"
"1c3eb56b6fef","05aeb06441ab","2","CO_AUTHORED_WITH"
"1c3eb56b6fef","a90a2e458e66","1","CO_AUTHORED_WITH"
"d5998814f109","6ab38635ac45","1","CO_AUTHORED_WITH"
"d5998814f109","13656fe8bc51","1","CO_AUTHORED_WITH"
"d5998814f109","7d7f39cdf1bf","2","CO_AUTHORED_WITH"
"d5998814f109","6d42d98dd279","1","CO_AUTHORED_WITH"
"d5998814f109","05aeb06441ab","2","CO_AUTHORED_WITH"
"d5998814f109","a90a2e458e66","1","CO_AUTHORED_WITH"
"13656fe8bc51","6ab38635ac45","1","CO_AUTHORED_WITH"
"7d7f39cdf1bf","6ab38635ac45","1","CO_AUTHORED_WITH"
"6d42d98dd279","6ab38635ac45","1","CO_AUTHORED_WITH"
"05aeb06441ab","6ab38635ac45","1","CO_AUTHORED_WITH"
"a90a2e458e66","6ab38635ac45","1","CO_AUTHORED_WITH"
"13656fe8bc51","7d7f39cdf1bf","1","CO_AUTHORED_WITH"
"6d42d98dd279","13656fe8bc51","1","CO_AUTHORED_WITH"
"05aeb06441ab","13656fe8bc51","1","CO_AUTHORED_WITH"
"13656fe8bc51","a90a2e458e66","1","CO_AUTHORED_WITH"
"6d42d98dd279","7d7f39cdf1bf","1","CO_AUTHORED_WITH"
"05aeb06441ab","7d7f39cdf1bf","2","CO_AUTHORED_WITH"
"7d7f39cdf1bf","a90a2e458e66","1","CO_AUTHORED_WITH"
"05aeb06441ab","6d42d98dd279","1","CO_AUTHORED_WITH"
"6d42d98dd279","a90a2e458e66","1","CO_AUTHORED_WITH"
"05aeb06441ab","a90a2e458e66","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","ddce9594fa49","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","a76b8a830b4e","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","992ed53635fe","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","daccc0763a76","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","87abcbbed3a7","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","4eeb6271bd57","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","c9af7ef82ace","1","CO_AUTHORED_WITH"
"d3e97f5bdaf9","79a229b69096","5","CO_AUTHORED_WITH"
"ddce9594fa49","a76b8a830b4e","1","CO_AUTHORED_WITH"
"992ed53635fe","ddce9594fa49","1","CO_AUTHORED_WITH"
"ddce9594fa49","daccc0763a76","1","CO_AUTHORED_WITH"
"ddce9594fa49","87abcbbed3a7","1","CO_AUTHORED_WITH"
"ddce9594fa49","4eeb6271bd57","1","CO_AUTHORED_WITH"
"ddce9594fa49","c9af7ef82ace","1","CO_AUTHORED_WITH"
"ddce9594fa49","79a229b69096","1","CO_AUTHORED_WITH"
"992ed53635fe","a76b8a830b4e","1","CO_AUTHORED_WITH"
"a76b8a830b4e","daccc0763a76","1","CO_AUTHORED_WITH"
"87abcbbed3a7","a76b8a830b4e","1","CO_AUTHORED_WITH"
"a76b8a830b4e","4eeb6271bd57","1","CO_AUTHORED_WITH"
"c9af7ef82ace","a76b8a830b4e","1","CO_AUTHORED_WITH"
"a76b8a830b4e","79a229b69096","1","CO_AUTHORED_WITH"
"992ed53635fe","daccc0763a76","1","CO_AUTHORED_WITH"
"992ed53635fe","87abcbbed3a7","1","CO_AUTHORED_WITH"
"992ed53635fe","4eeb6271bd57","1","CO_AUTHORED_WITH"
"992ed53635fe","c9af7ef82ace","1","CO_AUTHORED_WITH"
"992ed53635fe","79a229b69096","1","CO_AUTHORED_WITH"
